df;n
 grupera;124
 hollywood;122
 audiophile vocal;121
 middle earth;120
 scottish singer-songwriter;120
" 
ccm";115
 brostep;115
 new rave;115
 canadian psychedelic;114
 modern uplift;114
 calming instrumental;113
 focus;113
 celtic;112
 cedm;111
 hip house;110
 celtic;109
 world;109
 dub;108
 bubblegum dance;107
 escape room;105
" 
bebop";101
 background music;101
 filter house;101
 moombahton;100
 comic;99
 neo mellow;98
 canadian celtic;97
 vintage hollywood;97
 big band;96
 minneapolis sound;95
 corrido;94
 deep regional mexican;94
" 
diva house";93
 c86;92
 old school dancehall;92
 permanent wave;92
" 
bossa nova";91
" 
disco";90
 big beat;90
 madchester;90
 new wave;90
" 
bounce";89
 irish pub song;89
 regional mexican;89
 roots reggae;89
 ska;89
 deep disco;87
 vocal harmony group;87
 e6fi;86
" 
easy listening";85
" 
deep disco";82
" 
rhythm and blues";82
 gospel r&b;82
 redneck;82
 classic soundtrack;81
 hyphy;80
 freestyle;79
" 
lilith";78
 bassline;78
 dixieland;78
 acid house;76
 uk dance;76
 hi-nrg;74
" 
nashville sound";73
 jump blues;73
 swing;73
 deep freestyle;72
 house;72
 deep talent show;71
" 
afrobeat";70
 comedy;69
 drill;69
 screamo;68
" 
reggae fusion";67
 neo-singer-songwriter;67
 deep new wave;66
 girl group;66
 new wave;66
" 
jam band";65
 comedy;65
 neo-singer-songwriter;65
 vogue;64
" 
broadway";63
 chamber psych;62
 drum and bass;62
 neue deutsche welle;62
 strut;62
" 
sevdah";61
 belgian dance;61
 hardcore techno;61
 wu fam;61
" 
louisiana blues";60
 dixieland;60
 merseybeat;60
 minneapolis sound;60
 screamo;60
" 
british blues";59
 breakbeat;59
 italian disco;59
 palm desert scene;58
" 
edm";56
 dreamo;56
 melodic hardcore;56
 movie tunes;56
 progressive post-hardcore;56
" 
classic girl group";55
" 
escape room";55
" 
dutch house";54
 banjo;54
 big beat;54
 freakbeat;54
 honky tonk;54
 mariachi cristiano;54
 contemporary gospel;52
 canadian blues;50
 hammond organ;49
 ny roots;49
 r&b;49
" 
new jack swing";48
 new weird america;48
 parody;48
 scorecore;48
 trance;48
 hollywood;47
 trance;47
" 
bluegrass";46
" 
eurodance";46
 bluegrass;46
 bluegrass gospel;46
 boom bap;46
 k-hop;46
 neo r&b;46
 progressive bluegrass;46
 italian disco;45
 jump blues;45
 miami bass;45
" 
chicago house";43
 modern bollywood;43
" 
instrumental surf";42
 asmr;42
 catstep;42
 chillhop;42
 electra;42
" 
dancehall";41
" 
novelty";40
 downtempo;40
" 
banda";39
" 
NA";39
 canadian indigenous;39
 filter house;39
 theme;39
 irish singer-songwriter;38
 laboratorio;38
 proto-techno;37
 downtempo;36
 hardcore techno;36
 new age;36
 cuban rumba;35
 redneck;35
 scottish new wave;35
" 
calming instrumental";34
" 
idol";34
 detroit house;34
 new orleans blues;34
 tribal house;34
" 
complextro";33
 australian singer-songwriter;33
 boogie-woogie;33
 classic soundtrack;33
 honky tonk;33
 uk contemporary r&b;33
" 
beach music";32
" 
brostep";32
 acoustic blues;32
 boogaloo;32
 lds youth;32
 post-disco;32
 progressive bluegrass;32
 romantico;32
 roots americana;32
 ccm;31
" 
bakersfield sound";30
 bubblegum dance;30
 cosmic american;30
